"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15"
"acc1",0.846153846153846,0.717948717948718,0.794871794871795,0.794871794871795,0.743589743589744,0.846153846153846,0.846153846153846,0.743589743589744,0.871794871794872,0.82051282051282,0.743589743589744,0.846153846153846,0.82051282051282,0.743589743589744,0.82051282051282
"acc2",0.717948717948718,0.743589743589744,0.846153846153846,0.769230769230769,0.769230769230769,0.871794871794872,0.871794871794872,0.769230769230769,0.897435897435897,0.846153846153846,0.769230769230769,0.897435897435897,0.666666666666667,0.743589743589744,0.82051282051282
"acc3",0.717948717948718,0.948717948717949,0.794871794871795,0.82051282051282,0.897435897435897,0.846153846153846,0.871794871794872,0.897435897435897,0.846153846153846,0.846153846153846,0.897435897435897,0.794871794871795,0.923076923076923,0.897435897435897,0.794871794871795
"acc4",0.769230769230769,0.769230769230769,0.871794871794872,0.846153846153846,0.769230769230769,0.82051282051282,0.846153846153846,0.846153846153846,0.846153846153846,0.897435897435897,0.871794871794872,0.82051282051282,0.846153846153846,0.82051282051282,0.794871794871795
"acc5",0.846153846153846,0.717948717948718,0.846153846153846,0.923076923076923,0.717948717948718,0.82051282051282,0.897435897435897,0.82051282051282,0.82051282051282,0.871794871794872,0.743589743589744,0.846153846153846,0.846153846153846,0.769230769230769,0.794871794871795
"acc6",0.743589743589744,0.717948717948718,0.794871794871795,0.846153846153846,0.717948717948718,0.82051282051282,0.794871794871795,0.794871794871795,0.82051282051282,0.794871794871795,0.743589743589744,0.794871794871795,0.794871794871795,0.743589743589744,0.692307692307692
"acc7",0.794871794871795,0.871794871794872,0.82051282051282,0.794871794871795,0.897435897435897,0.794871794871795,0.794871794871795,0.871794871794872,0.794871794871795,0.794871794871795,0.82051282051282,0.743589743589744,0.794871794871795,0.846153846153846,0.743589743589744
"acc8",0.794871794871795,0.82051282051282,0.769230769230769,0.794871794871795,0.871794871794872,0.769230769230769,0.82051282051282,0.871794871794872,0.769230769230769,0.82051282051282,0.794871794871795,0.794871794871795,0.82051282051282,0.82051282051282,0.717948717948718
"acc9",0.717948717948718,0.82051282051282,0.82051282051282,0.846153846153846,0.82051282051282,0.846153846153846,0.846153846153846,0.871794871794872,0.871794871794872,0.846153846153846,0.794871794871795,0.871794871794872,0.846153846153846,0.82051282051282,0.846153846153846
"acc10",0.769230769230769,0.897435897435897,0.769230769230769,0.794871794871795,0.82051282051282,0.794871794871795,0.794871794871795,0.846153846153846,0.794871794871795,0.794871794871795,0.846153846153846,0.82051282051282,0.82051282051282,0.871794871794872,0.82051282051282
"acc11",0.769230769230769,0.846153846153846,0.717948717948718,0.82051282051282,0.846153846153846,0.743589743589744,0.846153846153846,0.846153846153846,0.743589743589744,0.846153846153846,0.871794871794872,0.717948717948718,0.846153846153846,0.794871794871795,0.743589743589744
"acc12",0.769230769230769,0.769230769230769,0.769230769230769,0.794871794871795,0.794871794871795,0.794871794871795,0.897435897435897,0.846153846153846,0.769230769230769,0.897435897435897,0.846153846153846,0.769230769230769,0.871794871794872,0.666666666666667,0.769230769230769
"acc13",0.846153846153846,0.82051282051282,0.948717948717949,0.82051282051282,0.871794871794872,0.897435897435897,0.846153846153846,0.846153846153846,0.897435897435897,0.846153846153846,0.871794871794872,0.897435897435897,0.794871794871795,0.846153846153846,0.897435897435897
"acc14",0.871794871794872,0.846153846153846,0.769230769230769,0.871794871794872,0.871794871794872,0.82051282051282,0.871794871794872,0.871794871794872,0.846153846153846,0.846153846153846,0.923076923076923,0.846153846153846,0.82051282051282,0.82051282051282,0.82051282051282
"acc15",0.769230769230769,0.871794871794872,0.82051282051282,0.82051282051282,0.897435897435897,0.769230769230769,0.82051282051282,0.897435897435897,0.769230769230769,0.82051282051282,0.846153846153846,0.769230769230769,0.794871794871795,0.846153846153846,0.769230769230769
"acc16",0.794871794871795,0.82051282051282,0.692307692307692,0.82051282051282,0.794871794871795,0.769230769230769,0.82051282051282,0.794871794871795,0.794871794871795,0.82051282051282,0.794871794871795,0.743589743589744,0.743589743589744,0.794871794871795,0.666666666666667
"acc17",0.82051282051282,0.82051282051282,0.897435897435897,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.871794871794872,0.743589743589744,0.794871794871795,0.82051282051282,0.743589743589744,0.794871794871795,0.846153846153846
"acc18",0.769230769230769,0.846153846153846,0.871794871794872,0.743589743589744,0.794871794871795,0.846153846153846,0.769230769230769,0.82051282051282,0.794871794871795,0.794871794871795,0.82051282051282,0.794871794871795,0.769230769230769,0.82051282051282,0.82051282051282
"acc19",0.794871794871795,0.871794871794872,0.794871794871795,0.846153846153846,0.846153846153846,0.846153846153846,0.846153846153846,0.846153846153846,0.794871794871795,0.871794871794872,0.846153846153846,0.794871794871795,0.871794871794872,0.82051282051282,0.82051282051282
"acc20",0.717948717948718,0.82051282051282,0.846153846153846,0.769230769230769,0.794871794871795,0.846153846153846,0.846153846153846,0.794871794871795,0.846153846153846,0.794871794871795,0.794871794871795,0.82051282051282,0.794871794871795,0.846153846153846,0.846153846153846
"acc_mean",0.782051282051282,0.817948717948718,0.812820512820513,0.816666666666667,0.816666666666667,0.817948717948718,0.837179487179487,0.834615384615385,0.823076923076923,0.830769230769231,0.821794871794872,0.81025641025641,0.811538461538462,0.806410256410256,0.792307692307692
