"column_name_new","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","category_1","category_2","constructs","constructs_type","weights","factor","metric","metric_type","description"
"farm_elevation",1,200,198.526845,27.8900446241425,195.9,196.90394375,32.0130405,147.039,292.334,145.295,0.499792017662368,-0.308343850397784,1.97212396813266,"biophysical_context","elevation","farm_elevation","composite","mode_A","Farm elevation","masl","continuous","Elevation of the farm (in meters above sea level)"
"soil_depth",2,200,3.395,0.756197177232414,3,3.4625,1.4826,1,5,4,-0.441389207440386,-0.279532711872313,0.0534712151935166,"biophysical_context","soil characteristics","soil_quality","composite","mode_B","Soil depth","1 = Exposed subsoil, no superficial soil present. 2= Very shallow soil depth. 3= Thin superficial soil, approximately 5 cm. 4= Moderate soil depth, about 10 cm. 5= Significant superficial soil depth, more than >10 cm. 0= I am not sure.","continuous","Mean soil depth across three sites on the farm."
"soil_MO_percentage_mean",3,200,2.31316666666667,1.0360390226747,2.2,2.20875,0.938979999999995,0.5,7.33333333333333,6.83333333333333,1.27286297842884,3.0443765905816,0.0732590218507163,"biophysical_context","soil characteristics","soil_quality","composite","mode_B","Soil organic matter","percentage","continuous","Average soil organic matter across three locations on cropland."
"soil_pH_mean",4,200,5.19633333333333,0.820404157458103,5.01666666666666,5.128125,0.7413,3.73333333333333,7.56666666666667,3.83333333333334,0.750870097944771,0.0133984630615127,0.058011334305226,"biophysical_context","soil characteristics","soil_quality","composite","mode_B","Soil pH","pH","continuous","Average soil pH across three locations on cropland."
"num_crops_grown",5,200,4.055,3.14346654341155,3,3.525,1.4826,1,19,18,1.9748556334232,4.79483675511061,0.222276650927934,"farm_management_characteristics","crops","crop_diversity","composite","mode_A","Number of crops grown","number of crops","continuous","Number of different crop species (including perennial crops) produced on the farm in the last 12 months."
"num_pest_management_ecol_practices",6,200,1.34,0.543947972682061,1,1.28125,0,0,3,3,0.934542053587006,0.28844797114064,0.0384629300096161,"farm_management_characteristics","practices","ecological_practices","composite","mode_B","Number of ecological practices for pest management","number of practices","continuous","Number of ecological pest management practices used on the farm in the last 12 months."
"num_soil_fertility_ecol_practices",7,200,0.105,0.452769256906871,0,0,0,0,4,4,5.59796529181571,36.575433625818,0.0320156211871642,"farm_management_characteristics","practices","ecological_practices","composite","mode_B","Number of ecological practices for soil quality","number of practices","continuous","Number of different ecological practices used on cropland to improve soil quality and health."
"num_farm_products",8,200,1.54,0.547630803997946,2,1.51875,1.4826,1,3,2,0.29913379262205,-1.03454644489107,0.0387233455093589,"farm_management_characteristics","production","market_orientation","composite","mode_B","Number of on-farm products","number of farm products","continuous","Number of different products (crops, livestock, fish, wood, honey, other) produced on the farm in the last 12 months."
"sfs_monoculture_annual_area",9,200,0.83336,1.40579812642545,0.1,0.5167,0.14826,0,10.5,10.5,3.05244953213208,13.0526415914698,0.0994049388174779,"farm_management_characteristics","practices","monoculture_practices","composite","mode_B","Area under monoculture annual","hectares","continuous","Total area of monoculture annual crops on the farm."
"sfs_monoculture_perennial_area",10,200,4.34895,4.36964281022428,3,3.7065,2.9652,0,36,36,3.05982705580618,15.5707969122309,0.308980406247263,"farm_management_characteristics","practices","monoculture_practices","composite","mode_B","Area under monoculture perennial","hectares","continuous","Total area of monoculture perennial crops on the farm."
